SA3_CODE_2016,SA3_NAME_2016,SA4_CODE_2016,SA4_NAME_2016,GCCSA_CODE_2016,GCCSA_NAME_2016,STATE_CODE_2016,STATE_NAME_2016,AREA_ALBERS_SQKM
31002,Ipswich Hinterland,310,Ipswich,3GBRI,Greater Brisbane,3,Queensland,6135.7833
31003,Ipswich Inner,310,Ipswich,3GBRI,Greater Brisbane,3,Queensland,378.0564
31004,Springfield - Redbank,310,Ipswich,3GBRI,Greater Brisbane,3,Queensland,103.593
31101,Beaudesert,311,Logan - Beaudesert,3GBRI,Greater Brisbane,3,Queensland,1628.0131
31102,Beenleigh,311,Logan - Beaudesert,3GBRI,Greater Brisbane,3,Queensland,60.1506
31103,Browns Plains,311,Logan - Beaudesert,3GBRI,Greater Brisbane,3,Queensland,169.579
31104,Jimboomba,311,Logan - Beaudesert,3GBRI,Greater Brisbane,3,Queensland,582.4324
31105,Loganlea - Carbrook,311,Logan - Beaudesert,3GBRI,Greater Brisbane,3,Queensland,88.7275
31106,Springwood - Kingston,311,Logan - Beaudesert,3GBRI,Greater Brisbane,3,Queensland,57.2427
31201,Bowen Basin - North,312,Mackay - Isaac - Whitsunday,3RQLD,Rest of Qld,3,Queensland,79852.782
31202,Mackay,312,Mackay - Isaac - Whitsunday,3RQLD,Rest of Qld,3,Queensland,7613.2964
31203,Whitsunday,312,Mackay - Isaac - Whitsunday,3RQLD,Rest of Qld,3,Queensland,2674.0276
31301,Bribie - Beachmere,313,Moreton Bay - North,3GBRI,Greater Brisbane,3,Queensland,255.4466
31302,Caboolture,313,Moreton Bay - North,3GBRI,Greater Brisbane,3,Queensland,314.7209
31303,Caboolture Hinterland,313,Moreton Bay - North,3GBRI,Greater Brisbane,3,Queensland,3388.2856
31304,Narangba - Burpengary,313,Moreton Bay - North,3GBRI,Greater Brisbane,3,Queensland,172.4136
31305,Redcliffe,313,Moreton Bay - North,3GBRI,Greater Brisbane,3,Queensland,213.5898
31401,The Hills District,314,Moreton Bay - South,3GBRI,Greater Brisbane,3,Queensland,668.6809
31402,North Lakes,314,Moreton Bay - South,3GBRI,Greater Brisbane,3,Queensland,66.3175
31403,Strathpine,314,Moreton Bay - South,3GBRI,Greater Brisbane,3,Queensland,38.3965
31501,Far North,315,Queensland - Outback,3RQLD,Rest of Qld,3,Queensland,250877.5904
31502,Outback - North,315,Queensland - Outback,3RQLD,Rest of Qld,3,Queensland,307082.1758
31503,Outback - South,315,Queensland - Outback,3RQLD,Rest of Qld,3,Queensland,625222.9542
31601,Buderim,316,Sunshine Coast,3RQLD,Rest of Qld,3,Queensland,76.3839
31602,Caloundra,316,Sunshine Coast,3RQLD,Rest of Qld,3,Queensland,113.1062
31603,Maroochy,316,Sunshine Coast,3RQLD,Rest of Qld,3,Queensland,70.3493
31605,Noosa,316,Sunshine Coast,3RQLD,Rest of Qld,3,Queensland,92.1032
31606,Sunshine Coast Hinterland,316,Sunshine Coast,3RQLD,Rest of Qld,3,Queensland,1568.0164
31607,Nambour,316,Sunshine Coast,3RQLD,Rest of Qld,3,Queensland,345.8864
31608,Noosa Hinterland,316,Sunshine Coast,3RQLD,Rest of Qld,3,Queensland,820.066
