MB_CODE_2016,MB_CATEGORY_NAME_2016,SA1_MAINCODE_2016,SA1_7DIGITCODE_2016,SA2_MAINCODE_2016,SA2_5DIGITCODE_2016,SA2_NAME_2016,SA3_CODE_2016,SA3_NAME_2016,SA4_CODE_2016,SA4_NAME_2016,GCCSA_CODE_2016,GCCSA_NAME_2016,STATE_CODE_2016,STATE_NAME_2016,AREA_ALBERS_SQKM
70016417900,Residential,70101100502,7100502,701011005,71005,Larrakeyah,70101,Darwin City,701,Darwin,7GDAR,Greater Darwin,7,Northern Territory,0.0108
70016418000,Residential,70101100508,7100508,701011005,71005,Larrakeyah,70101,Darwin City,701,Darwin,7GDAR,Greater Darwin,7,Northern Territory,0.0062
70016418100,Residential,70101100508,7100508,701011005,71005,Larrakeyah,70101,Darwin City,701,Darwin,7GDAR,Greater Darwin,7,Northern Territory,0.0101
70016418200,Residential,70104104314,7104314,701041043,71043,Rosebery - Bellamack,70104,Palmerston,701,Darwin,7GDAR,Greater Darwin,7,Northern Territory,0.0239
70016418300,Residential,70203105704,7105704,702031057,71057,Alligator,70203,Daly - Tiwi - West Arnhem,702,Northern Territory - Outback,7RNTE,Rest of NT,7,Northern Territory,0.2342
70016418400,Primary Production,70201105312,7105312,702011053,71053,Tanami,70201,Alice Springs,702,Northern Territory - Outback,7RNTE,Rest of NT,7,Northern Territory,6687.4062
70016418500,Residential,70201105312,7105312,702011053,71053,Tanami,70201,Alice Springs,702,Northern Territory - Outback,7RNTE,Rest of NT,7,Northern Territory,5.4262
70016418600,Primary Production,70201105216,7105216,702011052,71052,Sandover - Plenty,70201,Alice Springs,702,Northern Territory - Outback,7RNTE,Rest of NT,7,Northern Territory,21903.8473
70016418700,Residential,70201105211,7105211,702011052,71052,Sandover - Plenty,70201,Alice Springs,702,Northern Territory - Outback,7RNTE,Rest of NT,7,Northern Territory,2.9994
70016418800,Residential,70104104308,7104308,701041043,71043,Rosebery - Bellamack,70104,Palmerston,701,Darwin,7GDAR,Greater Darwin,7,Northern Territory,0.0284
70016418900,Residential,70104104308,7104308,701041043,71043,Rosebery - Bellamack,70104,Palmerston,701,Darwin,7GDAR,Greater Darwin,7,Northern Territory,0.0192
70016419000,Residential,70102101605,7101605,701021016,71016,Coconut Grove,70102,Darwin Suburbs,701,Darwin,7GDAR,Greater Darwin,7,Northern Territory,0.0216
70016419100,Residential,70102101605,7101605,701021016,71016,Coconut Grove,70102,Darwin Suburbs,701,Darwin,7GDAR,Greater Darwin,7,Northern Territory,0.0296
70016419200,Residential,70205106808,7106808,702051068,71068,Victoria River,70205,Katherine,702,Northern Territory - Outback,7RNTE,Rest of NT,7,Northern Territory,17.4404
70016419300,Residential,70201105106,7105106,702011051,71051,Ross,70201,Alice Springs,702,Northern Territory - Outback,7RNTE,Rest of NT,7,Northern Territory,0.4068
70016419400,Residential,70201105106,7105106,702011051,71051,Ross,70201,Alice Springs,702,Northern Territory - Outback,7RNTE,Rest of NT,7,Northern Territory,0.0609
70016419500,Other,70201105213,7105213,702011052,71052,Sandover - Plenty,70201,Alice Springs,702,Northern Territory - Outback,7RNTE,Rest of NT,7,Northern Territory,2619.9896
70016419600,Residential,70101100505,7100505,701011005,71005,Larrakeyah,70101,Darwin City,701,Darwin,7GDAR,Greater Darwin,7,Northern Territory,0.042
